Filename	Start_Time	Caption
David Pogue- Simplicity sells - TED Talk.mp4	00:15:32	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:16:38	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:16:50	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:08	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:15	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:33	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:55	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:18:11	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:18:31	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:18:45	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:00	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:10	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:13	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:46	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:20:22	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:20:31	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:21:04	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:21:10	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:00	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:01	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:02	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:06	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:22	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:24	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:28	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:00:47	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:01	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:04	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:04	No caption
